Department,Department Name,Property Id,Property Name,Address 1,City,State/Province,Postal Code,Property Area(ft²),Primary Property Type ,Year Built,Electricity Use (kWh),Natural Gas Use (therms),Propane Use (kBtu),Water Use (All Water Sources) (kgal),Percent of Electricity that is Green Power,Total Green Power - Onsite and Offsite (kWh),Site Energy Use (kBtu),ENERGY STAR Score,LEED Certified,Location
CADA,Capitol Area Development Authority,1259182,1212-14 P STREET,1212-14 P STREET,SACRAMENTO,California,95814,7000,Multifamily Housing,1936,583,871.866672,,244.7,0%,0,89175.9,,,"1212-14 P STREET
SACRAMENTO, California 95814
"
CADA,Capitol Area Development Authority,1259200,1428 14TH ST METROPOL,1424-28 14TH STREET,SACRAMENTO,California,95814,7350,Multifamily Housing,1928,15248,878.921868,,225,0%,0,139918.4,,,"1424-28 14TH STREET
SACRAMENTO, California 95814
"
CADA,Capitol Area Development Authority,1259218,1001-1035 Q ST SOMERSET PARKSIDE APARTMENTS,1001-1035 Q STREET,SACRAMENTO,California,95814,12000,Multifamily Housing,1985,5331,286.9536261,,225,0%,0,46884.7,,,"1001-1035 Q STREET
SACRAMENTO, California 95814
"
CAL FIRE,California Department of Forestry and Fire Protection,3939905,CNR-AEU River Pines FS - 2014 E P Complete,"15035 Hwy E-16 (Mt. Aukum Rd, P.O. Box 48",River Pines,California,95675,3071,Fire Station,1899,20344.2,,92552,283.3,0%,0,161966.5,,,"15035 Hwy E-16 (Mt. Aukum Rd, P.O. Box 48
River Pines, California 95675
"
CAL FIRE,California Department of Forestry and Fire Protection,3939906,CNR-AEU Sutter Hill FS - 2014 E N Complete,11600 Hwy 49,Sutter Creek,California,95685,11871,Fire Station,1952,59240.6,3100.374887,,656.7,0%,0,512166.5,,,"11600 Hwy 49
Sutter Creek, California 95685
"
CAL FIRE,California Department of Forestry and Fire Protection,3939907,CNR-AEU Pine Grove Hw 88 FS - 2014 E P Complete,"19597 Hwy 88, P.O. Box 783",Pine Grove,California,95665,,Fire Station,1899,31330.7,,116196,218.4,0%,0,223096.4,,,"19597 Hwy 88, P.O. Box 783
Pine Grove, California 95665
"
CAL FIRE,California Department of Forestry and Fire Protection,3939908,CNR-AEU Pine Grove CC - 2014 E P Complete CDF,13630 Aqueduct-Volcano Rd.,Pine Grove,California,95665,37261,Fire Station,1968,489705.1,,30360,3707.8,0%,0,1701234.1,,,"13630 Aqueduct-Volcano Rd.
Pine Grove, California 95665
"
CAL FIRE,California Department of Forestry and Fire Protection,3939911,CNR-AEU Garden Valley FS - 2014 E P Complete,15061 Marshall Rd ,Garden Valley,California,95633,3141,Fire Station,2014,23905,,49864,853.8,0%,0,131427.9,,,"15061 Marshall Rd
Garden Valley, California 95633
"
CAL FIRE,California Department of Forestry and Fire Protection,3939913,CNR-AEU South Lake Tahoe RMO 2014 MEE MNG Private,"3141 Highway 50, Suite B",Meyers,California,96155,,Fire Station,1899,10148,,,8.6,0%,0,,,,"3141 Highway 50, Suite B
Meyers, California 96155
"
CAL FIRE,California Department of Forestry and Fire Protection,3939922,CNR-BTU Jarbo Gap FS - 2014 E P Complete,11972 Hwy 70,Oroville,California,95965,,Fire Station,1985,35733.9,,87492,51.5,0%,0,209416.2,,,"11972 Hwy 70
Oroville, California 95965
"
CAL FIRE,California Department of Forestry and Fire Protection,3939927,CDF Unit CDF Academy 2014 E P N Complete,4501 Highway 104,Ione,California,95640,88273,Fire Station,1899,1000446,12419.99993,429088,15219.2,0%,0,5084610.1,,,"4501 Highway 104
Ione, California 95640
"
CAL FIRE,California Department of Forestry and Fire Protection,3939932,CNR-CZU Pescadero San Mateo County FS 2014 E Complete,"1200 Pescadero Rd, P.O. Box 279",Pescadero,California,94060,,Fire Station,1957,36567.6,,,0,0%,0,124768.6,,,"1200 Pescadero Rd, P.O. Box 279
Pescadero, California 94060
"
CAL FIRE,California Department of Forestry and Fire Protection,3939947,CNR-HUU High Rock CC 2014 RBO-E/PP Complete State-Other (State Parks),P.O. Box 176,Weott,California,95571,,Fire Station,1956,,,,1294.9,,,,,,"P.O. Box 176
Weott, California 95571
"
CAL FIRE,California Department of Forestry and Fire Protection,3939950,CNR-HUU Elk Camp FS 2014 Generator P,P.O.Box 278,Orick,California,95555,3631,Fire Station,1952,,,30488.8,32,,,,,,"P.O.Box 278
Orick, California 95555
"
CAL FIRE,California Department of Forestry and Fire Protection,3939951,CNR-HUU Garberville FS 2014 E MPP Complete,324 Alderpoint Road.,Freedom,California,95440,,Fire Station,2001,32823.2,,129158.8,80.1,0%,0,241151.6,,,"324 Alderpoint Road.
Freedom, California 95440
"
CAL FIRE,California Department of Forestry and Fire Protection,3939952,CNR-HUU Mattole FS 2014 E P CDF,44056 Mattole Rd.,Honeydew,California,95558,,Fire Station,1978,6611,,54491.6,32,0%,0,77048.5,,,"44056 Mattole Rd.
Honeydew, California 95558
"
CAL FIRE,California Department of Forestry and Fire Protection,3939956,CNR-HUU Kneeland HB 2014 E P CDF & Privat,Star Rt. Box 17C,Kneeland,California,95549,,Fire Station,1899,16150.7,,129388.8,63.3,0%,0,184494.9,,,"Star Rt. Box 17C
Kneeland, California 95549
"
CAL FIRE,California Department of Forestry and Fire Protection,3939961,CNR-LMU Susanville Interagency Com Cent ECC Federal 2014 N,Fifth && Cedar Streets,Susanville,California,96130,,Fire Station,1899,,,,37.2,,,,,,"Fifth &amp;&amp; Cedar Streets
Susanville, California 96130
"
CAL FIRE,California Department of Forestry and Fire Protection,3939962,CNR-LMU Eagle Lake FS - 2014 E P Complete ZZ,697-345 Hwy 36,Susanville,California,96130,,Fire Station,1976,,,46920,32,,,,,,"697-345 Hwy 36
Susanville, California 96130
"
CAL FIRE,California Department of Forestry and Fire Protection,3939963,CNR-LMU Grasshopper FS - 2014 E P Complete ZZ,697-345 Hwy 36#139,Susanville,California,96130,,Fire Station,1950,,,436825.3,47.2,,,,,,"697-345 Hwy 36#139
Susanville, California 96130
"
CAL FIRE,California Department of Forestry and Fire Protection,3939964,CNR-LMU Westwood FS -2014 E P Complete ZZ,"3rd && Greenwood Street, P.O. Box 1077",Westwood,California,96137,,Fire Station,2014,,,302477.6,80.1,,,,,,"3rd &amp;&amp; Greenwood Street, P.O. Box 1077
Westwood, California 96137
"
