Date / Time,City,State,Shape,Duration,Summary,Posted
12/31/13 23:50,Kihei,HI,Circle,10 seconds,"Orange orb traveling in a straight line with a SE dir.. Happened above Kihei, HI, just before new year. Object disappeared.",41649
12/31/13 23:22,Largo,FL,Circle,2-3 minutes,"Bright orange circular craft, silent and fast.",41649
12/31/13 23:10,Corvallis,OR,Circle,1 minute,2 amber lights dimming as ascending into sky. Moving then stopping.,41649
12/31/13 23:00,Lakeland,FL,Circle,10 minutes,5 orange globes moving in sync...no sound.,41840
12/31/13 22:15,Magna,UT,Circle,45 minutes,"Amber light, moving in wierd ways.",41669
12/31/13 21:05,North Battleford (Canada),SK,Circle,5 minutes,A Large Bright Red Glowing Light.,41649
12/31/13 21:00,Fort Lauderdale,FL,Circle,3 minutes,"Strange reddish sphere w/bright yellow lights in center moving slowly, then hovering, then moving west again.",41649
12/31/13 21:00,Wilmington,NC,Circle,25-30 seconds,Unknown light.,41649
12/31/13 20:51,Bossier City,LA,Circle,~5 minutes,Bright white light traveling fast.,41649
12/31/13 20:30,Albany,OR,Circle,15 minutes,New Years Eve 2013 sighting of four orange lights in Albany Oregon.,41649
12/31/13 20:00,Fallbrook,CA,Circle,3 minutes,"Intense slow moving white light, size of medicine ball: no noise, no trail.",41649
12/31/13 19:58,Auburn,CA,Circle,3 minutes,"Illuminated large spher object, completely silent, sighted over Auburn, CA December 31, 7:58pm. Not fireworks..and we don't drink!",41649
12/31/13 18:33,Boracay Island (Philippines),,Circle,,Tropical Sunset UFO.,41663
12/31/13 00:15,Las Vegas,NV,Circle,2 minutes,4 red/Orange balls in a kite tail formation over the road.,41663
12/30/13 19:00,San Diego,CA,Circle,5 minutes,"My son, his friends, and I saw three bright lights hovering in the sky which then came together to form a triangular shape.",41649
12/30/13 18:45,Highlands Ranch,CO,Circle,ongoing,"Red, white and blue flashing lights in the Eastern sky. ((NUFORC Note: Possibly Sirius?? PD))",41649
12/29/13 23:45,Plain,WA,Circle,6 minutes,"Bright Orange Circular discs - 6 to 8 appearing and disappearing-very random North Cascades, WA.",41649
12/29/13 22:30,Naples,FL,Circle,30 seconds,"Glowing orange light silently moving across sky in naples Florida 22:30 December 29, 2013.",41649
12/29/13 20:00,Jeffersonville,IN,Circle,10 minutes,"Seven silent round orange flying objects watched and observed in Jeffersonville, Indiana.",41649
12/29/13 19:15,Greeley,CO,Circle,3 minutes,"While driving west on highway 34 business at about 65 Ave., we saw two identical lights flying together. They crossed our path in fro",41649
12/29/13 19:15,Urbana,MD,Circle,Several nights,White stationary star-like object fades in and out in NW horizon.,41649
12/29/13 18:20,Omaha,NE,Circle,5 minutes,Bright light traveling southeast over downtown Omaha. Thought maybe it was a Chinese lantern but it stopped and reversed course.,41649
12/28/13 23:00,East Haddam,CT,Circle,10 minutes,White circular objects for 10 minutes.,41649
12/28/13 23:00,Lancaster,PA,Circle,2 hours+,Several orange/red glowing objects were in the sky.,41649
12/28/13 20:00,Studio City,CA,Circle,1 minute,Two red circles in Studio City.,41649
12/28/13 11:30,Grosse Pointe Park,MI,Circle,5 minutes,"Orange colored circular objects flying in a line in Grosse Pointe, Michigan.",41649
