Date / Time,City,State,Shape,Duration,Summary,Posted
9/29/16 11:45,Idyllwild,CA,Circle,3-5 seconds,Black dot moving fast on a sunny day that disappeared behind clouds on 9/29/16 at 11:45 am. Duration was 3-5 seconds.,42643
9/28/16 20:16,Aurora,CO,Circle,2 minutes,"We saw a bright light traveling E to west, at a moderate speed and elevation that lasted up to 2 min",42643
9/27/16 21:21,Hoquiam,WA,Circle,10,"A very bright light in the sky which I first assumed to be a star. Stayed stationary for along time, then moved rapidly to the west.",42643
9/27/16 21:00,El Monte,CA,Circle,Seconds,"Two glowing objects come out of the clouds in the night sky of El Monte, CA.",42643
9/27/16 20:30,New Britian,CT,Circle,Unknown,"Above a house, stood stationary rapidly traveled westward. ((anonymous report))",42643
9/27/16 20:15,West pittston,PA,Circle,40 seconds,At 8:15 p.m. I saw a circular object with 5 bright white lights coming Southeast going Northwest it made no sound and was flying very l,42643
9/26/16 07:30,Hollywood,FL,Circle,30 seconds,"Bright white circle, high speed travel and large rapid U-turns. ((anonymous report))",42643
9/26/16 05:20,Coachella,CA,Circle,~1 minute,I was standing in a maintenance yard using nvg goggles looking up to the sky noticed 8 objects overhead. ((anonymous report)),42643
9/25/16 00:00,Bellingham,WA,Circle,1 second,Bright silent orb movng a extreme speed over Bellingham.,42643
9/25/16 23:46,El Mirage,AZ,Circle,10 minutes,Around 11:46 PM when I was staring up in the sky and noticed 2 circle li ((anonymous report)),42643
9/25/16 21:30,Reston,VA,Circle,2 seconds,"Reston, VA, at ~21:30z: Extremely fast multi-colored object moving at the trajectory of a passenger plane for 2 sec and disappearing.",42643
9/25/16 15:49,Wilmington,DE,Circle,30,Four objects noticed way up in the sky. ((anonymous report)),42643
9/24/16 23:20,White Plains,NY,Circle,3 minutes,As i was driving I saw two circular orange flying lights.They were side by side with a distance between them.I didn't hear any sound. I,42643
9/24/16 22:00,Rutland,MA,Circle,1 minute,4 yellow lights in the sky. Perfectly spaced apart flying horizontal. No sound. Then 2 more followed but one at a time.,42643
9/24/16 21:00,Lancaster,PA,Circle,11 minutes,My uncle went outside to smoke a cigarette and he happened to spot the formation of the orange lights. They flickered as they gliding t,42643
