Date / Time,City,State,Shape,Duration,Summary,Posted
12/31/13 23:40,Taylors,SC,Fireball,1-2 minutes,3 reddish-orange lights in the sky.,41649
12/31/13 23:30,Melbourne (Australia),,Fireball,3 minutes,We witnessed a large star like object glowing bright red/orange. It was moving in all directions while kind of just hovering.,41649
12/31/13 22:30,Myrtle Beach,SC,Fireball,10 minutes,"While on vacation, I saw one medium sized orange circular fireball smoothly gliding in the air over the ocean, yet it turned in differe",41649
12/31/13 22:25,Elko,NV,Fireball,3 minutes,Three orange fireballs spotted by witness in Elko Nevada.,41649
12/31/13 22:00,Saint Cloud,FL,Fireball,5 minutes,Flickering fireball with no sound or tail.,41649
12/31/13 22:00,Aubrey,TX,Fireball,15 minutes,7 fireball orb type object over N TX on 12/31/13.,41649
12/31/13 21:54,Mesa,AZ,Fireball,48 hours,I'm reporting very concerning sightings of non identifiable objects that are being launched into the sky.,41649
12/31/13 21:40,Portland,OR,Fireball,5-10 seconds,Bright white object turned reddish-orange and switched direction at 45 degree angle at high altitude and speed.,41649
12/31/13 21:30,Tigard (near),OR,Fireball,~1 hour,"Large orange fireball witnessed on New Year's Eve near Tigard, OR",41649
12/31/13 21:00,Palm Beach Gardens,FL,Fireball,10 minutes,"Two fireballs seen over Palm Beach Gardens, Florida.",41649
12/31/13 21:00,Portland,OR,Fireball,2-3 minutes,Just about ready to pull into my driveway when I spotted three orange fireball like objects west of our location. I told my wife what,41663
12/31/13 20:30,Newman Lake,WA,Fireball,5 minutes,"At 20:30, 12/31/2013, I spotted a light in the air above Newman Lake,WA, nearing Stateline Idaho. It was round and emitted orange light",41649
12/31/13 19:54,Selah,WA,Fireball,10-15 minutes,4 fireballs in night sky. Shape seen.,41649
12/31/13 19:30,Santa Cruz,CA,Fireball,5 minutes,Reddish/Orange ball of light seen over Monterey Bay.,41649
12/31/13 19:01,Clarkston,WA,Fireball,9 minutes,"Red/Orange fireball-type light moves east, then west, then ascends and dims out.",41649
