Date / Time,City,State,Shape,Duration,Summary,Posted
9/22/16 12:15,Cincinnati,OH,Fireball,7 seconds,Large round light falls from sky then is later seen standing still.,42635
9/21/16 21:45,Lowell,MA,Fireball,1 second,"I saw large green shooting star/fireball. It had a long green tail. It was going really fast, from east to west, from high to low. I",42635
9/21/16 21:42,Nashua,NH,Fireball,15 seconds,Emerald green fireball shooting across sky,42635
9/21/16 05:16,Newport Beach,CA,Fireball,5 minutes,"Three fireball objects seen by witnesses fading in and out of view over the ocean. Location was off the coast from Newport Beach, CA.",42635
9/21/16 05:16,Newport Beach,CA,Fireball,5 minutes,Three fireball objects seen by witnesses fading in and out of view over the ocean.,42635
9/21/16 02:35,Tea,SD,Fireball,4 seconds,"Fireball observed north of Tea, SD.",42635
9/19/16 20:05,Pittsfield,MA,Fireball,7 minutes,"Out for a walk to the store, walking toward the northwest on the south side of town, I first noticed it over the treeline as very red.",42635
9/19/16 20:00,Madurai (India),IN,Fireball,5 seconds,Mysterious object that moves in zigzag pattern from east to west direction with bright green coloured tail and red coloured tip.,42643
9/17/16 23:15,Miami,FL,Fireball,Minutes,My 9 yr. old daughter and I were leaving her friend house we were inside the car when suddenly those flying objects like fire were in t,42635
9/17/16 22:36,Colton,NY,Fireball,3 minutes,"((NUFORC Note: Adv. Lights? PD)) Bright red lights were close; were doing circles, then suddenly disappeared. ((anonymous report))",42635
9/15/16 21:45,Bigfork,MT,Fireball,23 seconds,Comet-like craft moving northeast across sky.,42635
9/15/16 21:00,Seagrove,FL,Fireball,30 minutes,"The objects were approximately 2 miles off the coast and I'd guess 5,000 feet above the ocean. Two lighted up first next to each other",42635
9/15/16 20:30,Menifee,CA,Fireball,1 minute,3-4 objects shot across sky (west to east travel). Two red fireballs moving fast. Booms heard after 2nd fireball.,42635
9/15/16 19:45,Baltimore,MD,Fireball,4 minutes,"3 glowing fireball-type objects with trailing fireball, seen flying at dusk over east Baltimore, MD. ((anonymous report))",42635
9/13/16 21:30,Lakewood,WA,Fireball,4 minutes,Red fireball/orb in night over Lakewood JBLM 9/13/16,42628
9/13/16 21:05,Fayetteville,AR,Fireball,30 seconds,Greenish fireball shooting over treetops. ((anonymous report)),42628
9/12/16 22:00,Brooks,ME,Fireball,~1 minute,"I thought it was a meteor, but it was going across the sky, not downward. Orange, big, quiet, fast. ((anonymous report))",42628
