Date / Time,City,State,Shape,Duration,Summary,Posted
12/31/13 22:30,Edison,NJ,Triangle,10 minutes,"Four confirmed triangular bright orange objects travel and then dissappear above Edison, NJ USA.",41649
12/31/13 17:50,Chanhassen,MN,Triangle,0.2083333333,Driving down the highway and saw two objects both having white triangular lights beneath with a red pulsating light in the middle.,41649
12/31/13 13:00,Taos,NM,Triangle,15 minutes,3 very large red triangle shaped obkject.,41649
12/30/13 21:00,Port Orchard,WA,Triangle,5-10,"Three red light triangular UFO over Port Orchard, Washington.",41655
12/30/13 19:00,Albany (near),NY,Triangle,1 minute,My friend and I were driving back home to NYC on interstate 87 when I noticed what I thought was an airplane hovering in the sky. How,41649
12/29/13 19:00,Hampton Roads,VA,Triangle,3 hours,Traveling on I 95 to I 64 when I spotted 2 object in the sky. The object had at least four light on each object. The lights appeared gr,41649
12/28/13 22:47,Monterey Bay area,CA,Triangle,6 seconds,"Triangle-shaped craft w/3 solid white lights on the bottom, travelling fast, visible about 6 sec.",41649
12/28/13 18:40,Harrogate (UK/England),,Triangle,10 seconds,Small triangular formation of lights performs flight display then vanishes over playing field.,41649
12/27/13 22:10,Port Charlotte,FL,Triangle,2-3 minutes,"V or diamond shaped object, 100 to 200 feet up, stationary, then Southbound and vanished, LARGE, others on road taking pics.",41649
12/27/13 19:12,Vista,CA,Triangle,10 minutes,Low flying triangular objects changing colors 10 minutes apart San Diego North County.,41649
12/26/13 20:00,Wayne,NJ,Triangle,20 seconds,3 Lights rotating fixed to each other that split up and flew off fast.,41649
12/26/13 01:00,Hampshire (UK/England),,Triangle,10 seconds,((HOAX??)) Boomerang shaped ufo seen in Southampton (UK).,42243
12/25/13 23:30,Sacramento,CA,Triangle,2 minutes,3 red lights over Sacramento.,41649
12/25/13 20:00,Midlothian,VA,Triangle,3 minutes,Three red rights shaped like a triangle.,41649
12/25/13 19:45,Yountville,CA,Triangle,2 minutes,Long bright red triangle.,41649
12/25/13 18:30,Belle,WV,Triangle,4-5 seconds,"Something in the sky in Belle, WV.",41649
12/25/13 18:26,Beaumont,AB,Triangle,5 minutes,3 red/orange dots make triangle in sky.,41649
12/25/13 18:00,Colorado Springs,CO,Triangle,2:00 minutes,I saw 3 red or orange sphere shaped lights aligned in a triangle like shape there were very low so I knew it wasn't a airplane and it w,41649
12/25/13 05:00,St. Louis,MO,Triangle,~5 minutes,"Triangular craft with solid red, blue and green lights at the corners and a bright white light in the middle over hwy 40 and 170",41716
12/24/13 21:30,Tijuana (Mexico),,Triangle,~5 minutes,Huge triangle shaped craft over Tijuana.,41655
12/24/13 19:03,Clinton Twp,MI,Triangle,50 seconds,Wide triangle shap light aray.,41649
12/24/13,Austintown,OH,Triangle,5 minutes,Red Lights.,41649
12/23/13 20:00,Nashville,TN,Triangle,5 minutes,"We noticed about twenty lights outlining a triangular shaped objects, suddenly, the lights all disappeared at once.",41649
12/23/13 18:30,Waldorf,MD,Triangle,5 minutes,Triangular craft followed by multiple conventional planes.,41649
12/22/13 01:00,Oakland,CA,Triangle,2 minutes,Triangular black object with red lights seen over Alameda,41631
12/21/13 20:00,Richmond,CA,Triangle,~30 seconds,White dots forming triangle with one trailing dot. Silent propulsion.,41655
12/21/13 06:00,Salem,OR,Triangle,10 seconds,We saw 3 lights in the sky!!!,41631
12/20/13 19:10,Lakewood Ranch,FL,Triangle,3-4 minutes,Driving south on I-75 just north of exit 213 (University Parkway) and saw a triangular craft at about helicopter height with two white,41631
12/19/13 12:00,Catonsville,MD,Triangle,~1 minute,Silent black composit aircraft with red-tinted dome near front.,41985
12/18/13 18:15,Runnemede,NJ,Triangle,6 hours,triangular crafts with bright lights and no sound.,41631
12/18/13 04:00,Ainsworth,IA,Triangle,3 minutes,TRIANGLE OBJECTS HOVERING IN CORNFIELD.,41631
12/17/13 15:00,Burke,VA,Triangle,5 minutes,Triangle shaped object over parking complex saw it for 5 minutes.,41631
12/14/13 00:00,Hurtsboro,AL,Triangle,3-4 minutes,Triangle shape in the woods.,41900
12/13/13 19:30,St. Augustine,FL,Triangle,few seconds,Blue teardrop or triangle shape fell from the sky lasted 10 seconds,41631
12/13/13 05:15,Edmond,OK,Triangle,5 minutes,The shapes drifted across the sky. They were triangle with an orange light center. They drifted across the sky then some turned black t,41631
12/12/13 00:07,North Huntingdon,PA,Triangle,10 minutes,"Triangle shaped object over North Huntingdon, Pa 12/12/13 @0:07.",41620
12/11/13 20:00,Dallas,TX,Triangle,6 seconds,1200-mph dart silhouette seen for 6-seconds.,42011
12/10/13 18:30,Lawton,OK,Triangle,3 minutes,V-shaped aircraft with bright white lights and little colored lights.,41620
12/9/13 19:48,Springfield,IL,Triangle,60 seconds,"Trianglular shaped craft over I-55 near Springfield, IL.",41620
12/9/13 11:45,Grand Forks,ND,Triangle,5 minutes,"Black triangle-shaped object over Grand Forks, ND.",41620
12/8/13 19:20,Henderson,NV,Triangle,~45 seconds,"Shadow like triangle, no lights or sound, larger and faster than a commercial jet.",41620
12/6/13 19:35,Cinti,OH,Triangle,,((HOAX)) Around 735 thursday pm on Ebenezer rd I walked down too my car which was about 900 ft away why I walked down.,41620
12/5/13 16:00,Elkart,IN,Triangle,3 minutes,A triangular craft passes over us on County Road 12 and then reappears as we head further down the road.,41631
12/5/13 06:00,Reno,NV,Triangle,5 minutes,s meadows ufo sighting.,41620
11/30/13 23:00,Fredericton (Canada),NB,Triangle,5 minutes,"Triangular aircraft, not making any noise. Flew very low and very fast. Had ember lights and vanished after 5 mins.",41610
11/30/13 20:57,Louisville,KY,Triangle,2-3 minutes,Black Triangle hanging in place over louisville street.,41610
