Date / Time,City,State,Shape,Duration,Summary,Posted
9/22/16 21:30,Glenside,PA,Triangle,2 minutes,I just know something hovered by tonight over the top of our car that I cannot fully explain and unidentified.,42643
9/22/16 20:30,Temecula,CA,Triangle,30 seconds,Triangle shaped UFO in the sky moving around! ((anonymous report)),42643
9/20/16 21:00,Salt Lake City,UT,Triangle,10-15 minutes,"Kite formation, including tail, traveled S to N along Wasatch over Red Butte",42635
9/19/16 17:50,Powell,TN,Triangle,1 minute,"Very large ,silent,triangle shaped craft with 1 large bright red light on right wing and smaller pinkish white light on left wing.white",42635
9/19/16 03:32,San Diego,CA,Triangle,5 minutes,"San Diego, CA 9/19/16 3:32 am I heard noise like a thunder clap and what sounded to be a low flying roar from an aircraft. I walked ou",42635
9/18/16 21:00,Cherry Creek,,Triangle,10 seconds,Saw a three dots on triangle formation right above the University of Denver. One kid pointed out the object and within 2 seconds of the,42635
9/17/16 21:00,Danville,IN,Triangle,30 seconds,Me and my family were driving in a car and I noticed 3 lights in a row. The second I saw it I knew something was weird and didn't take,42635
9/17/16 19:00,Ridgway,CO,Triangle,15 minutes,Unidentified flying object near Mt. Sneffels,42635
9/17/16 10:00,Layton,UT,Triangle,15-20 minutes,Triangle silver object hovering 15-20 min,42635
9/16/16 21:00,Sylmar,CA,Triangle,7 seconds,7 small objects appeared as birds then after 3 seconds they form 1 big object then Disappeared into the sky Fast very Fast,42635
9/16/16 20:00,Bangor,ME,Triangle,2 minutes,Driving down Palm St. I seen a medium sized triangle hovering low above the tree line. The object had 2 red lights flashing on 2 of the,42635
9/15/16 19:00,Smithville,NJ,Triangle,5 minutes,2 triangle shaped flying objects with 3 lights on bottom.,42635
9/14/16 01:00,Grapevine,CA,Triangle,2 minutes,3 blue lights..strange engine sound above the 5fwy veered off to land and up. Not normal type of plane. Very very close to cars,42628
9/13/16 16:00,Hollister,CA,Triangle,3 minutes,Dark Shape Following Interest Airliner.,42628
9/12/16 01:00,Colorado Springs,CO,Triangle,15 minutes,I saw a triangle shape object with lights on the points and 1 light in the middle hovered in sky for 15-20 mins. ((anonymous report)),42628
9/9/16 23:10,Eaton,OH,Triangle,2 minutes,"Slow flying with three lights on two sides, one flashing and heading south",42628
9/9/16 20:55,Madison,WI,Triangle,3 minutes,"Triangle ufo in Madison, WI.",42628
9/9/16 16:00,Tacoma,WA,Triangle,1-2+ hours,3 white sometimes sparkling &/orange objects together at 5pm!,42628
9/9/16 01:00,Jal (15 miles E of),NM,Triangle,3 minutes,"Saw 1 triangular object pass overhead, silent, 1 white light on each corner with red pulsing light in the center. ((anonymous report))",42628
9/7/16 23:20,Easley,SC,Triangle,5 minutes,Bright orange light (maybe shape of prism) moving very fast.,42622
9/7/16 21:30,Fairborn,OH,Triangle,1 minute,"Black Triangle shape, 3 lights underneath and rear view of craft , one flashing light on forward flying front. Heading SW. Low flying,",42628
9/7/16 21:30,Fairborn,OH,Triangle,1 minute,"Black triangle shape, 3 lights underneath and rear view of craft, one flashing light on forward flying front. Heading SW. Low.",42622
9/6/16 20:50,Albany,NY,Triangle,10 minutes,((NUFORC Note: No information provided by source. PD)),42622
9/6/16 14:45,Tucson,AZ,Triangle,1.5 minutes,"Unidentifiable craft moving at extreme speed over Tucson, AZ SEPT 6, 16",42622
9/6/16 01:34,Boise,ID,Triangle,35 minutes,Three triangle lights seen by my wife and me.,42622
