,  Location,     Time,     Truth
1875,      WEST,    NIGHT,  FIREBALL
1876,      WEST,AFTERNOON,  FIREBALL
1877,     SOUTH,    NIGHT,  FIREBALL
1878,     SOUTH,    NIGHT,  FIREBALL
1879, NORTHWEST,    NIGHT,  FIREBALL
1880, NORTHWEST,    NIGHT,  FIREBALL
1881,     SOUTH,AFTERNOON,  FIREBALL
1882,      WEST,    NIGHT,  FIREBALL
1883,     SOUTH,    NIGHT,  FIREBALL
1884, NORTHWEST,    NIGHT,  FIREBALL
1885,     SOUTH,AFTERNOON,  FIREBALL
1886,     SOUTH,    NIGHT,  FIREBALL
1887,     SOUTH,    NIGHT,  FIREBALL
1888,     SOUTH,    NIGHT,  FIREBALL
1889,      WEST,    NIGHT,  FIREBALL
1890,      WEST,    NIGHT,  FIREBALL
1891,      WEST,    NIGHT,  FIREBALL
1892,   MIDWEST,    NIGHT,  FIREBALL
1893,      WEST,    NIGHT,  FIREBALL
1894,      WEST,    NIGHT,  FIREBALL
1895,      WEST,    NIGHT,  FIREBALL
1896,     SOUTH,    NIGHT,  FIREBALL
1897, NORTHWEST,    NIGHT,  FIREBALL
1898, NORTHWEST,    NIGHT,  FIREBALL
1899,     SOUTH,    NIGHT,  FIREBALL
1900,     SOUTH,    NIGHT,  FIREBALL
1901,      WEST,  MORNING,  FIREBALL
1902,     SOUTH,    NIGHT,  FIREBALL
1903,      WEST,    NIGHT,  FIREBALL
1904,     SOUTH,    NIGHT,  FIREBALL
1905, NORTHWEST,    NIGHT,  FIREBALL
1906,     SOUTH,    NIGHT,  FIREBALL
1907,     SOUTH,  MORNING,  FIREBALL
1908,     SOUTH,  MORNING,  FIREBALL
1909,      WEST,AFTERNOON,  FIREBALL
1910,      WEST,    NIGHT,  FIREBALL
1911,     SOUTH,    NIGHT,  FIREBALL
1912,     SOUTH,    NIGHT,  FIREBALL
1913,     SOUTH,    NIGHT,  FIREBALL
1914,     SOUTH,AFTERNOON,  FIREBALL
1915,     SOUTH,AFTERNOON,  FIREBALL
1916,     SOUTH,AFTERNOON,  FIREBALL
1917,     SOUTH,AFTERNOON,  FIREBALL
1918,     SOUTH,AFTERNOON,  FIREBALL
1919,     SOUTH,AFTERNOON,  FIREBALL
1920,     SOUTH,    NIGHT,  FIREBALL
1921,     SOUTH,    NIGHT,  FIREBALL
1922,      WEST,    NIGHT,  FIREBALL
1923,      WEST,    NIGHT,  FIREBALL
1924,     SOUTH,    NIGHT,  FIREBALL
1925, NORTHWEST,    NIGHT,  FIREBALL
1926,     SOUTH,    NIGHT,  FIREBALL
1927, NORTHWEST,    NIGHT,  FIREBALL
1928, NORTHWEST,    NIGHT,  FIREBALL
1929,      WEST,    NIGHT,  FIREBALL
1930, NORTHWEST,    NIGHT,  FIREBALL
1931,      WEST,    NIGHT,  FIREBALL
1932,      WEST,    NIGHT,  FIREBALL
1933,     SOUTH,AFTERNOON,  FIREBALL
1934, NORTHWEST,    NIGHT,  FIREBALL
1935,     SOUTH,    NIGHT,  FIREBALL
1936, NORTHWEST,  MORNING,  FIREBALL
1937,     SOUTH,    NIGHT,  FIREBALL
1938,   MIDWEST,    NIGHT,  FIREBALL
1939,   MIDWEST,    NIGHT,  FIREBALL
1940, NORTHWEST,    NIGHT,  FIREBALL
1941,      WEST,    NIGHT,  FIREBALL
1942, NORTHWEST,    NIGHT,  FIREBALL
1943, NORTHWEST,    NIGHT,  FIREBALL
1944,     SOUTH,    NIGHT,  FIREBALL
1945,   MIDWEST,    NIGHT,  FIREBALL
1946,      WEST,    NIGHT,  FIREBALL
1947,     SOUTH,    NIGHT,  FIREBALL
1948,     SOUTH,    NIGHT,  FIREBALL
1949,      WEST,    NIGHT,  FIREBALL
1950,      WEST,    NIGHT,  FIREBALL
1951, NORTHWEST,  MORNING,  FIREBALL
1952, NORTHWEST,    NIGHT,  FIREBALL
1953, NORTHWEST,    NIGHT,  FIREBALL
1954, NORTHWEST,    NIGHT,  FIREBALL
1955, NORTHWEST,AFTERNOON,  FIREBALL
1956, NORTHWEST,AFTERNOON,  FIREBALL
1957, NORTHWEST,AFTERNOON,  FIREBALL
1958,      WEST,    NIGHT,  FIREBALL
1959,     SOUTH,    NIGHT,  FIREBALL
1960,   MIDWEST,    NIGHT,  FIREBALL
1961,      WEST,    NIGHT,  FIREBALL
1962,     SOUTH,AFTERNOON,  FIREBALL
1963,     SOUTH,AFTERNOON,  FIREBALL
1964,     SOUTH,    NIGHT,  FIREBALL
1965, NORTHWEST,    NIGHT,  FIREBALL
